Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","160.23","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","13.82","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","2.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","2.5","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2517","Millet","2013","2013","kg","0.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2520","Céréales, Autres","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","60.13","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","17.41","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","100.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2515","Seigle","2013","2013","kg","0.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2516","Avoine","2013","2013","kg","0.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2517","Millet","2013","2013","kg","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2518","Sorgho","2013","2013","kg","1.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2520","Céréales, Autres","2013","2013","kg","0.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","138.64","Fc","Donnée calculée"
