Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","1173","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","5992","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","4895","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","119","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","461","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","422","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2513","Orge","2013","2013","Milliers de tonnes","524","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5521","Aliments pour animaux","2513","Orge","2013","2013","Milliers de tonnes","360","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2513","Orge","2013","2013","Milliers de tonnes","89","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5911","Exportations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2514","Maïs","2013","2013","Milliers de tonnes","313","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5521","Aliments pour animaux","2514","Maïs","2013","2013","Milliers de tonnes","200","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2514","Maïs","2013","2013","Milliers de tonnes","76","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2517","Millet","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2531","Pommes de Terre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5911","Exportations - Quantité","2531","Pommes de Terre","2013","2013","Milliers de tonnes","41","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2531","Pommes de Terre","2013","2013","Milliers de tonnes","262","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2531","Pommes de Terre","2013","2013","Milliers de tonnes","230","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2536","Sucre, canne","2013","2013","Milliers de tonnes","90","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5521","Aliments pour animaux","2536","Sucre, canne","2013","2013","Milliers de tonnes","81","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2537","Sucre, betterave","2013","2013","Milliers de tonnes","15","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5521","Aliments pour animaux","2537","Sucre, betterave","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2542","Sucre Eq Brut","2013","2013","Milliers de tonnes","271","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2542","Sucre Eq Brut","2013","2013","Milliers de tonnes","255","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2542","Sucre Eq Brut","2013","2013","Milliers de tonnes","255","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2543","Edulcorants Autres","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2543","Edulcorants Autres","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2543","Edulcorants Autres","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2745","Miel","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5911","Exportations - Quantité","2745","Miel","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2745","Miel","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2745","Miel","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2549","Légumineuses Autres","2013","2013","Milliers de tonnes","26","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5911","Exportations - Quantité","2549","Légumineuses Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2549","Légumineuses Autres","2013","2013","Milliers de tonnes","86","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5521","Aliments pour animaux","2549","Légumineuses Autres","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2549","Légumineuses Autres","2013","2013","Milliers de tonnes","74","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5911","Exportations - Quantité","2551","Noix","2013","2013","Milliers de tonnes","12","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2551","Noix","2013","2013","Milliers de tonnes","44","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2551","Noix","2013","2013","Milliers de tonnes","44","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2557","Graines de tournesol","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5911","Exportations - Quantité","2559","Graines de coton","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2559","Graines de coton","2013","2013","Milliers de tonnes","27","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2560","Coco (Incl Coprah)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2560","Coco (Incl Coprah)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
