Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","511","Population totale","2501","Population","2013","2013","1000 personnes","30552","","Donnée officielle"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","160.23","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","13.82","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","2.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","2.5","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2517","Millet","2013","2013","kg","0.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2520","Céréales, Autres","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2531","Pommes de Terre","2013","2013","kg","7.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2542","Sucre Eq Brut","2013","2013","kg","8.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2543","Edulcorants Autres","2013","2013","kg","0.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2745","Miel","2013","2013","kg","0.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2549","Légumineuses Autres","2013","2013","kg","2.44","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2551","Noix","2013","2013","kg","1.45","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2560","Coco (Incl Coprah)","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2561","Sésame","2013","2013","kg","0.52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2563","Olives","2013","2013","kg","0.06","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2571","Huile de Soja","2013","2013","kg","0.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2572","Huile d'Arachide","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2573","Huile de Tournesol","2013","2013","kg","0.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2574","Huile de Colza&Moutarde","2013","2013","kg","0.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2575","Huile Graines de Coton","2013","2013","kg","0.12","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2577","Huile de Palme","2013","2013","kg","2.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2579","Huile de Sésame","2013","2013","kg","0.05","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2580","Huile d'Olive","2013","2013","kg","0.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2586","Huil Plantes Oleif Autr","2013","2013","kg","0.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2601","Tomates","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2605","Légumes, Autres","2013","2013","kg","28.97","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2611","Oranges, Mandarines","2013","2013","kg","4.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2614","Agrumes, Autres","2013","2013","kg","1.29","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2615","Bananes","2013","2013","kg","2.7","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2617","Pommes","2013","2013","kg","2.22","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2618","Ananas","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2619","Dattes","2013","2013","kg","0.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2620","Raisin","2013","2013","kg","15.8","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2625","Fruits, Autres","2013","2013","kg","7.29","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2630","Café","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2633","Feve de Cacao","2013","2013","kg","0.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2635","Thé","2013","2013","kg","3.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2640","Poivre","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2645","Épices, Autres","2013","2013","kg","0.26","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2655","Vin","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2656","Bière","2013","2013","kg","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2658","Boissons Alcooliques","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2731","Viande de Bovins","2013","2013","kg","4.59","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2732","Viande d'Ovins/Caprins","2013","2013","kg","4.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2734","Viande de Volailles","2013","2013","kg","2.45","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2735","Viande, Autre","2013","2013","kg","0.38","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2736","Abats Comestible","2013","2013","kg","1.72","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2740","Beurre, Ghee","2013","2013","kg","1.17","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2743","Crème","2013","2013","kg","0.6","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2737","Graisses Animales Crue","2013","2013","kg","0.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2744","Oeufs","2013","2013","kg","1.3","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2848","Lait - Excl Beurre","2013","2013","kg","62.23","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2761","Poissons Eau Douce","2013","2013","kg","0.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2680","Aliments pour enfants","2013","2013","kg","0.06","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","511","Population totale","2501","Population","2013","2013","1000 personnes","52776","","Donnée officielle"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","60.13","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz (Eq Blanchi)","2013","2013","kg","17.41","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2513","Orge","2013","2013","kg","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2514","Maïs","2013","2013","kg","100.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2515","Seigle","2013","2013","kg","0.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2516","Avoine","2013","2013","kg","0.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2517","Millet","2013","2013","kg","0.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2518","Sorgho","2013","2013","kg","1.35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2520","Céréales, Autres","2013","2013","kg","0.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2532","Manioc","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2531","Pommes de Terre","2013","2013","kg","30.66","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2533","Patates douces","2013","2013","kg","1.12","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2535","Ignames","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2534","Racines, Nda","2013","2013","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2542","Sucre Eq Brut","2013","2013","kg","35.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2543","Edulcorants Autres","2013","2013","kg","1.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2745","Miel","2013","2013","kg","0.06","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2546","Haricots","2013","2013","kg","1.83","Fc","Donnée calculée"
